REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date,Location
SL021328,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,GY1,NA,0,0,0,MIN,0.56,1.1,6.1,72,1.7,5.4,20,97,46,19,78,NA,NA,96,96,32,81,NA,NA,NA,0.1,"Lawn, centipede",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This report provides Test Results and Recommendations for each sample submitted for testing. Look for Lime Recommendations and N-P-K Fertilizer Recommendations. The lime recommendation is always listed next to the first crop and will be based on the higher target pH if the pH targets for crop 1 and crop 2 differ. Application at the indicated rate will raise soil pH to the optimal level for the plant you specified and should be sufficient for 2 to 3 years, depending on soil type. Common target pH values are as follows: 5.0 for azalea, camellia, rhododendron and mt. laurel; 5.5 for centipedegrass; 6.0 for other lawn grasses, shrubbery, and; flowering plants; and 6.5 for vegetable gardens. N-P-K Recommendations are based on the nitrogen (N) needs of the plants being grown and the soil test results for phosphorus (P-I) and potassium (K-I); a 50 to 70 index for either is optimum. If the exact fertilizer cannot be found, find the closest match and adjust the rate accordingly. Refer to 'Understanding the Soil Report' (last page of this report) for additional explanation and links to helpful information.",NA,NA,NA,NA,1/24/2018,Clinton
SL021328,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,GF1,NA,0,0,0,MIN,0.09,1.45,1.7,44,1,4.7,29,21,27,11,12,24,24,23,23,17,41,NA,NA,NA,0.1,"Bermuda hay/past., E",0.7,60-80,80,100,25,0,$,$,0,$,NA,12,"Bermuda hay/past., M",0,180-220,70,190,$,$,$,0,$,NA,12,NA,"This report provides Test Results and Recommendations for each sample submitted for testing. Look for Lime Recommendations and N-P-K Fertilizer Recommendations. The lime recommendation is always listed next to the first crop and will be based on the higher target pH if the pH targets for crop 1 and crop 2 differ. Application at the indicated rate will raise soil pH to the optimal level for the plant you specified and should be sufficient for 2 to 3 years, depending on soil type. Common target pH values are as follows: 5.0 for azalea, camellia, rhododendron and mt. laurel; 5.5 for centipedegrass; 6.0 for other lawn grasses, shrubbery, and; flowering plants; and 6.5 for vegetable gardens. N-P-K Recommendations are based on the nitrogen (N) needs of the plants being grown and the soil test results for phosphorus (P-I) and potassium (K-I); a 50 to 70 index for either is optimum. If the exact fertilizer cannot be found, find the closest match and adjust the rate accordingly. Refer to 'Understanding the Soil Report' (last page of this report) for additional explanation and links to helpful information.",NA,NA,NA,NA,1/24/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A1,NA,0,0,0,MIN,0.41,1.43,2.7,77,0.6,5.6,266,70,51,15,96,68,68,132,132,83,26,NA,NA,NA,0.1,"Vegetables, other",0.3,80-100,0,70,0,0,0,0,0,0,NA,6,Soybean,0,0,0,10,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A02,NA,0,0,0,MIN,0.27,1.38,2.5,77,0.6,5.6,177,79,45,16,71,53,53,85,85,79,21,NA,NA,NA,0.1,"Vegetables, other",0,80-100,0,60,0,25,0,0,0,0,NA,6,Soybean,0,0,0,0,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A03,NA,0,0,0,MIN,0.22,1.45,2.2,74,0.6,5.5,217,46,48,16,76,56,63,89,89,72,15,NA,NA,NA,0.1,"Vegetables, other",0.3,80-100,0,120,0,25,0,0,0,0,NA,6,"Corn, grain",0,120 - 160,0,50,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A04,NA,0,0,0,MIN,0.27,1.54,2.3,79,0.5,5.7,204,52,50,17,84,60,67,98,98,80,12,NA,NA,NA,0.1,"Vegetables, other",0,80-100,0,110,0,25,0,0,0,0,NA,6,"Corn, grain",0,120 - 160,0,40,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A05,NA,0,0,0,MIN,0.22,1.54,2.3,79,0.5,5.7,196,49,50,18,83,60,67,99,99,79,12,NA,NA,NA,0.1,"Vegetables, other",0,80-100,0,110,0,25,0,0,0,0,NA,6,"Corn, grain",0,120 - 160,0,40,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A06,NA,2,2017,0.3,MIN,0.36,1.43,3.1,78,0.7,5.6,313,69,52,15,103,72,72,167,167,139,23,NA,NA,NA,0.1,"Vegetables, other",0,80-100,0,70,0,25,0,0,0,0,NA,6,Soybean,0,0,0,20,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A07,NA,0,0,0,MIN,0.18,1.44,2.2,78,0.5,5.7,221,55,48,17,71,53,53,136,136,111,17,NA,NA,NA,0.1,"Vegetables, other",0,80-100,0,100,0,25,0,0,0,0,NA,6,Soybean,0,0,0,30,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A08,NA,0,0,0,MIN,0.22,1.37,2.6,80,0.5,5.8,187,61,48,20,103,72,79,315,315,84,12,NA,NA,NA,0.1,"Vegetables, other",0,80-100,0,90,0,25,0,0,0,0,NA,6,"Corn, grain",0,120 - 160,0,30,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A09,NA,0,0,0,MIN,0.22,1.35,2.5,73,0.7,5.5,90,93,36,19,53,42,49,64,64,50,20,NA,NA,NA,0.1,"Vegetables, other",0.3,80-100,40,30,0,25,0,0,0,0,NA,6,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
SL021327,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,NA,Clinton,NC,28328,NA,NA,Sampson,A10,NA,0,0,0,MIN,0.32,1.4,2.7,72,0.8,5.5,303,54,49,13,108,75,82,194,194,111,20,NA,NA,NA,0.1,"Vegetables, other",0.4,80-100,0,100,0,25,0,0,0,0,NA,6,"Corn, grain",0,120 - 160,0,40,0,0,0,0,0,NA,3,NA,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",NA,NA,NA,NA,1/25/2018,Clinton
