Complete_Date,Report,Location,Sample_ID,Crop,Last_Lime_Date,Last_Lime_Amount,Soil_Class,Hma,Vw,CEC,Base_Sat,AC,pH,P,K,Ca,Mg,Mn,Mn_Avail_Crop,Zn,Zn_Avail_Crop,Cu,S,SS,NN Result,AM,Na,Trial
2018-01-25,SL021327,Clinton,B1,Sweetpotato,NA,NA,MIN,0.22,1.47,2.5,72,0.7,5.6,203,37,51,14,78,64,174,174,104,13,NA,NA,NA,0.1,18NCGT0014HCR
2018-01-25,SL021327,Clinton,B2,Sweetpotato,NA,NA,MIN,0.18,1.46,2.2,73,0.6,5.7,122,65,41,17,63,55,81,81,112,13,NA,NA,NA,0.1,18NCGT0014KIN 
2018-01-25,SL021327,Clinton,B3,Sweetpotato,NA,NA,MIN,0.22,1.44,2.4,71,0.7,5.6,174,64,44,14,83,67,149,149,81,15,NA,NA,NA,0.1,18NCGT0014HCR
2018-01-25,SL021327,Clinton,B4,Sweetpotato,NA,NA,MIN,0.22,1.43,2.3,74,0.6,5.7,104,46,48,17,59,52,116,116,66,11,NA,NA,NA,0.1,18NCGT0014KIN 
2018-01-25,SL021327,Clinton,B5,Sweetpotato,NA,NA,MIN,0.22,1.5,1.8,63,0.7,5.4,131,49,37,13,78,64,81,81,90,16,NA,NA,NA,0.1,18NCGT0014HCR
2018-01-25,SL021327,Clinton,B6,Sweetpotato,NA,NA,MIN,0.27,1.48,2.2,68,0.7,5.5,134,74,34,17,79,64,92,92,80,62,NA,NA,NA,0.1,18NCGT0014KIN 
2018-01-25,SL021327,Clinton,B07,Sweetpotato,NA,NA,MIN,0.32,1.41,2.8,64,1,5.4,135,55,41,13,42,42,53,53,39,29,NA,NA,NA,0.1,18NCGT0014HCR
2018-01-25,SL021327,Clinton,F6,Sweetpotato,NA,NA,MIN,0.09,1.46,2.6,80,0.5,6,173,42,55,17,97,75,192,192,85,46,NA,NA,NA,0.1,18NCGT0014KIN 
2018-01-25,SL021327,Clinton,1,Sweetpotato,NA,NA,MIN,0.46,1.37,4.8,73,1.3,5.7,202,106,48,14,85,68,231,231,140,26,NA,NA,NA,0.1,18NCGT0014HCR
2018-01-25,SL021327,Clinton,2,Sweetpotato,NA,NA,MIN,0.22,1.42,3.5,78,0.8,6.1,110,74,47,21,71,58,138,138,150,26,NA,NA,NA,0.1,18NCGT0014KIN 
