Complete_Date,Report,Location,Sample_ID,Trial,Crop,Last_Lime_Date,Last_Lime_Amount,Soil_Class,Hma,Vw,CEC,Base_Sat,AC,pH,P,K,Ca,Mg,Mn,Mn_Avail_Crop,Zn,Zn_Avail_Crop,Cu,S,SS,NN,AM,Na
2019-02-12,SL023898,Clinton,S02,19MCY30061HCRS02,Sweetpotato,NA,NA,MIN,1.14,1.25,7.4,84,1.2,6.1,68,104,53,24,37,38,139,139,22,49,NA,NA,NA,0.2
2019-02-12,SL023898,Clinton,S02,19SPEC0052HCRS02,Sweetpotato,NA,NA,MIN,1.14,1.25,7.4,84,1.2,6.1,68,104,53,24,37,38,139,139,22,49,NA,NA,NA,0.2
2019-02-12,SL023898,Clinton,S03,19PURS0036HCRS03,Sweetpotato,NA,NA,MIN,1.02,1.21,8.4,89,0.9,6.4,90,108,60,22,66,50,102,102,28,41,NA,NA,NA,0.2
2019-02-13,SL023895,Clinton,M06,19Y2GS_HCR,Sweetpotato,NA,NA,MIN,0.32,1.41,2.2,58,0.9,5.4,204,44,37,12,74,61,115,115,72,18,NA,NA,NA,0.1
2019-02-13,SL023894,Clinton,F03,19PRE2HCRSF030159,Sweetpotato,NA,NA,MIN,0.13,1.44,2.1,73,0.6,5.7,122,31,48,18,69,58,63,63,108,17,NA,NA,NA,0.1
2019-02-13,SL023894,Clinton,F09,19Y1GS_HCR,Sweetpotato,NA,NA,MIN,0.27,1.33,3.3,77,0.8,5.8,107,84,47,17,101,78,64,64,88,22,NA,NA,NA,0.1
2019-02-13,SL023894,Clinton,F10,19ADYT0008HCR,Sweetpotato,NA,NA,MIN,0.51,1.34,3.5,76,0.8,5.7,233,71,54,12,123,91,82,82,65,35,NA,NA,NA,0.1
2019-02-13,SL023894,Clinton,F10,19CHIP0036HCRF10,Sweetpotato,NA,NA,MIN,0.51,1.34,3.5,76,0.8,5.7,233,71,54,12,123,91,82,82,65,35,NA,NA,NA,0.1
2019-02-13,SL023894,Clinton,F10,19PRE10032HCRF10,Sweetpotato,NA,NA,MIN,0.51,1.34,3.5,76,0.8,5.7,233,71,54,12,123,91,82,82,65,35,NA,NA,NA,0.1
2019-02-13,SL023894,Clinton,F11,19MCY30036HCRF11,Sweetpotato,NA,NA,MIN,0.18,1.45,2.1,77,0.5,5.9,174,50,52,13,75,62,107,107,41,25,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HB,19CHIP0036KINH02,Sweetpotato,NA,NA,MIN,0.36,1.29,3.2,75,0.8,5.8,278,44,49,19,103,79,74,74,63,32,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HB,19MCY10036CUNH02,Sweetpotato,NA,NA,MIN,0.36,1.29,3.2,75,0.8,5.8,278,44,49,19,103,79,74,74,63,32,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HB,19MCY30036CUNH02,Sweetpotato,NA,NA,MIN,0.36,1.29,3.2,75,0.8,5.8,278,44,49,19,103,79,74,74,63,32,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HB,19PRE20032CUNH02,Sweetpotato,NA,NA,MIN,0.36,1.29,3.2,75,0.8,5.8,278,44,49,19,103,79,74,74,63,32,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HB,19PURS0036CUNH02,Sweetpotato,NA,NA,MIN,0.36,1.29,3.2,75,0.8,5.8,278,44,49,19,103,79,74,74,63,32,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HB,19SPEC0024CUNH02,Sweetpotato,NA,NA,MIN,0.36,1.29,3.2,75,0.8,5.8,278,44,49,19,103,79,74,74,63,32,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HB,19Y1GS_KIN,Sweetpotato,NA,NA,MIN,0.36,1.29,3.2,75,0.8,5.8,278,44,49,19,103,79,74,74,63,32,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HB,19Y2GS_KIN,Sweetpotato,NA,NA,MIN,0.36,1.29,3.2,75,0.8,5.8,278,44,49,19,103,79,74,74,63,32,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HC,19ADYT0008CUNH03,Sweetpotato,NA,NA,MIN,0.41,1.28,4.4,83,0.8,6.2,264,58,55,21,86,66,57,57,54,30,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HC,19NCGT0016CUNH03,Sweetpotato,NA,NA,MIN,0.41,1.28,4.4,83,0.8,6.2,264,58,55,21,86,66,57,57,54,30,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HC,19NMER0020CUNH03,Sweetpotato,NA,NA,MIN,0.41,1.28,4.4,83,0.8,6.2,264,58,55,21,86,66,57,57,54,30,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HC,19PRE10032CUNH03,Sweetpotato,NA,NA,MIN,0.41,1.28,4.4,83,0.8,6.2,264,58,55,21,86,66,57,57,54,30,NA,NA,NA,0.1
2019-02-12,SL023904,Cunningham,HC,19PRE30046CUNH03,Sweetpotato,NA,NA,MIN,0.41,1.28,4.4,83,0.8,6.2,264,58,55,21,86,66,57,57,54,30,NA,NA,NA,0.1
