REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B51,,0,0,0,MIN,0.71,1.21,8.5,93,0.6,6.7,323,39,68,23,85,50,,892,892,277,33,,,,0.1,Soybean,0,0,0,60,0,0,0,0,0,pH$,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B52,,0,0,0,MIN,1.55,1.21,9.3,82,1.7,5.9,453,24,60,20,66,50,,999,999,510,40,,,,0.1,Soybean,0,0,0,90,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B53,,0,0,0,MIN,0.56,1.2,8.1,89,0.9,6.4,203,44,62,24,120,76,,455,455,173,33,,,,0.1,Soybean,0,0,0,50,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B71,,0,0,0,MIN,3.01,1.08,9.9,82,1.8,6,155,172,57,16,56,51,,82,82,115,35,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B72,,0,0,0,MIN,0.6,1.28,7.3,96,0.3,6.9,388,49,76,16,229,141,,350,350,256,25,,,,0.1,"Corn, grain",0,120 - 160,0,40,0,20,0,0,0,pH$,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B73,,0,0,0,MIN,0.51,1.31,6.8,95,0.4,6.8,412,40,76,15,160,101,,349,349,261,27,,,,0.1,"Corn, grain",0,120 - 160,0,60,0,0,0,0,0,pH$,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B74,,0,0,0,ORG,6.78,0.96,14.9,83,2.5,5.7,476,216,66,10,76,67,,416,691,382,49,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B75,,0,0,0,MIN,1.49,1.16,8.5,80,1.7,5.7,559,119,60,13,186,129,,670,670,463,35,,,,0.1,"Corn, grain",0.6,120 - 160,0,0,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B76,,0,0,0,MIN,0.76,1.24,5.8,77,1.3,5.7,341,58,60,12,176,123,,407,407,303,29,,,,0.1,"Corn, grain",0.4,120 - 160,0,30,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
SL023903,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,RESSTATION,,Lenoir,B77,,0,0,0,MIN,0.71,1.22,6.5,81,1.2,5.9,500,86,62,13,225,152,,641,641,498,31,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,"ATTENTION: This report was flagged with a 'C' and/or 'Z' to alert you that copper and/or zinc have accumulated in the soil and are approaching a level that could be detrimental to crop production. The C and Z symbols are printed on your report for soil test Zn and Cu index levels of 2000 or more for agronomic crops; for peanuts with zinc, the level is 250. This note is designed to be a 'trigger' that allows enough time to either reduce the rate of application or find another field for application of biosolids and/or waste water. The CTL (critical toxic level) for Cu and Zn is set at a 3000 index; for peanuts with zinc, the level is 500. Maintaining a pH of 6.0 or higher may reduce potential for toxicity, especially for Zn. These levels are used by DENR as a benchmark to determine when application of waste products should be stopped. The CTL for copper and zinc was set to prevent levels from accumulating to the point where they become toxic to crops grown on a field.",,,,,2/12/2019
