REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C51,,0,0,0,MIN,1.43,1.13,5.8,72,1.6,5.6,55,111,48,15,76,63,,113,113,40,40,,,,0.1,"Corn, grain",0.6,120 - 160,20,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C52,,0,0,0,MIN,1.49,1.17,5.7,71,1.6,5.6,54,114,47,14,70,59,,111,111,38,43,,,,0.1,"Corn, grain",0.6,120 - 160,20,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C53,,0,0,0,MIN,1.61,1.18,6,81,1.1,6.1,49,92,57,16,57,49,,126,126,34,36,,,,0.1,"Corn, grain",0,120 - 160,30,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C54,,0,0,0,MIN,1.74,1.18,6.2,83,1.1,6.2,47,94,58,17,53,46,,126,126,39,39,,,,0.1,"Corn, grain",0,120 - 160,30,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C55,,0,0,0,MIN,1.8,1.22,5.6,81,1,6.3,83,60,60,16,43,38,,178,178,70,38,,,,0.1,"Corn, grain",0,120 - 160,0,30,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C56,,0,0,0,MIN,1.55,1.19,7.5,82,1.3,6.1,76,135,57,17,60,52,,83,83,35,32,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C57,,0,0,0,MIN,1.55,1.14,7.8,81,1.4,6.1,76,136,56,16,60,52,,74,74,32,33,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C58,,0,0,0,MIN,0.86,1.18,6.5,87,0.8,6.3,42,108,59,20,63,50,,100,100,68,36,,,,0.1,"Corn, grain",0,120 - 160,40,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C59,,0,0,0,MIN,0.86,1.18,6.4,87,0.8,6.3,40,105,59,20,59,48,,95,95,65,35,,,,0.1,"Corn, grain",0,120 - 160,40,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C510,,0,0,0,MIN,1.31,1.23,5.2,71,1.5,5.8,56,89,48,14,64,55,,155,155,90,42,,,,0.1,"Corn, grain",0.4,120 - 160,10,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C511,,0,0,0,MIN,0.97,1.21,5.1,77,1.2,6.2,38,93,51,17,35,35,,75,75,36,36,,,,0.1,"Corn, grain",0,120 - 160,50,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C512,,0,0,0,MIN,1.08,1.19,5.2,78,1.1,6.2,37,95,52,17,30,32,,73,73,39,35,,,,0.1,"Corn, grain",0,120 - 160,50,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,C513,,0,0,0,MIN,2.22,1.13,8.8,83,1.5,6.2,109,157,57,18,55,47,,84,84,24,35,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,2,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,F11,,0,0,0,MIN,0.92,1.26,4.9,71,1.4,6,151,86,49,13,45,44,,70,70,34,40,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,F12,,0,0,0,MIN,1.19,1.15,5.4,72,1.5,6,197,92,49,14,58,52,,82,82,31,38,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,F13,,0,0,0,MIN,1.94,1.19,7.6,77,1.8,6,152,126,51,18,68,58,,47,47,35,44,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
SL025330,Caswell Research Farm,2415 W Vernon Ave,,Kinston,NC,28504,CASWELL RESEARCH FARM,,Lenoir,F14,,0,0,0,MIN,1.55,1.17,7,81,1.3,6.1,97,114,54,18,73,59,,48,48,22,36,,,,0.1,"Corn, grain",0,120 - 160,0,0,0,0,2,0,0,0,,3,,,,,,,,,,,,,,,,,,,2/27/2017
