REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,F01,,0,0,0,MIN,0.32,1.42,2.5,67,0.8,5.6,166,33,48,13,57,51,44,51,51,75,20,,,,0.1,Sweetpotato,0.3, 60-90,0,120,0,25,0,0,0.5,0,,6,Soybean,0,0,0,70,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,G02,,0,0,0,MIN,0.22,1.32,2.9,76,0.7,6.1,96,72,46,18,73,60,53,52,52,64,36,,,,0.1,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,Soybean,0,0,0,10,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,G03,,3,2019,0.3,MIN,0.36,1.38,3.6,79,0.8,6.1,217,87,49,17,126,91,84,109,109,105,38,,,,0.1,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,Soybean,0,0,0,0,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,G05,,0,0,0,MIN,0.27,1.42,2,60,0.8,5.5,160,33,39,14,74,61,54,79,79,53,20,,,,0.1,Sweetpotato,0.4, 60-90,0,120,0,25,0,0,0.5,0,,6,Soybean,0,0,0,70,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,L01,,0,0,0,MIN,0.27,1.44,2,56,0.9,5.6,256,26,35,15,80,65,58,54,54,46,17,,,,0.1,Sweetpotato,0.4, 60-90,0,140,0,25,0,0,0.5,0,,6,Soybean,0,0,0,90,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,N03,,3,2019,0.4,MIN,0.22,1.33,2.6,72,0.7,5.9,180,65,42,17,78,64,57,96,96,97,38,,,,0.1,Sweetpotato,0, 60-90,0,20,0,0,0,0,0.5,0,,6,Soybean,0,0,0,20,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,N04,,3,2019,0.4,MIN,0.22,1.27,2.5,73,0.7,6.2,170,58,44,18,62,51,44,53,53,80,32,,,,0.1,Sweetpotato,0, 60-90,0,40,0,0,0,0,0.5,0,,6,Soybean,0,0,0,30,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,N05,,0,0,0,MIN,0.22,1.41,2.3,57,1,5.4,181,44,37,10,49,46,39,68,68,62,42,,,,0.1,Sweetpotato,0.5, 60-90,0,80,25,0,0,0,0.5,0,,6,Soybean,0,0,0,50,$,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,N06,,0,0,0,MIN,0.27,1.36,2.7,67,0.9,5.8,145,64,42,13,61,54,47,59,59,90,40,,,,0.1,Sweetpotato,0, 60-90,0,20,0,0,0,0,0.5,0,,6,Soybean,0,0,0,20,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,N11,,0,0,0,MIN,0.27,1.38,2.8,71,0.8,6.1,192,56,46,15,78,63,56,76,76,165,37,,,,0.1,Sweetpotato,0, 60-90,0,40,0,0,0,0,0.5,0,,6,Soybean,0,0,0,30,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,N12,,0,0,0,MIN,0.18,1.39,2.8,65,1,5.7,117,75,35,16,42,42,35,33,33,68,56,,,,0.1,Sweetpotato,0.3, 60-90,0,0,0,0,0,0,0.5,0,,6,Soybean,0,0,0,10,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,R05,,0,0,0,MIN,0.81,1.28,4.8,71,1.4,5.7,68,116,43,15,38,40,33,91,91,33,37,,,,0.1,Sweetpotato,0.5, 60-90,0,0,0,0,0,0,0.5,0,,6,Soybean,0,0,0,0,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,R10,,0,0,0,MIN,0.66,1.3,4.4,67,1.5,5.6,91,111,40,14,47,45,38,66,66,35,35,,,,0.1,Sweetpotato,0.6, 60-90,0,0,0,0,0,0,0.5,0,,6,Soybean,0,0,0,0,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,R11,,3,2019,0.6,MIN,0.6,1.17,5,75,1.2,6,38,107,43,22,34,37,30,60,60,35,49,,,,0.1,Sweetpotato,0, 60-90,70,0,0,0,0,0,0.5,0,,6,Soybean,0,0,50,0,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,R13,,0,0,0,MIN,1.14,1.26,5.9,81,1.1,6.2,80,112,48,23,38,36,29,57,57,30,45,,,,0.1,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,Soybean,0,0,0,0,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,R14,,0,0,0,MIN,0.71,1.3,4.6,68,1.4,5.7,97,97,44,14,43,43,36,55,55,44,28,,,,0.1,Sweetpotato,0.5, 60-90,0,0,0,0,0,0,0.5,0,,6,Soybean,0,0,0,0,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,R17,,3,2019,0.5,MIN,1.37,1.23,6.2,81,1.2,6.1,91,157,46,23,42,41,34,32,32,48,62,,,,0.1,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,Soybean,0,0,0,0,0,0,0,0,0,,3,,,,,,,12/16/2019
SL017637,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,RESSTATION,,Sampson,R18,,0,0,0,MIN,1.31,1.24,7.7,86,1.1,6.2,101,212,45,27,45,41,34,36,36,51,134,,,,0.2,Sweetpotato,0, 60-90,0,0,0,0,0,0,0.5,0,,6,Soybean,0,0,0,0,0,0,0,0,0,,3,,,,,,,12/16/2019
