REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A01,,3,2018,0.4,MIN,0.32,1.38,3.2,72,0.9,5.8,236,67,47,15,107,74,81,111,111,84,21,,,,0.1,"Vegetables, other",0, 80-100,0,80,0,25,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,20,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A02,,0,0,0,MIN,0.18,1.35,2.9,75,0.7,5.8,149,79,44,17,84,60,67,77,77,71,25,,,,0.1,"Vegetables, other",0, 80-100,0,60,0,25,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,0,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A03,,3,2018,0.3,MIN,0.22,1.29,3.3,81,0.6,6.1,189,65,49,22,92,63,63,97,97,68,21,,,,0.1,"Vegetables, other",0, 80-100,0,80,0,20,0,0,0,0,,6,Soybean,0,0,0,20,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A04,,0,0,0,MIN,0.18,1.32,2.7,72,0.8,5.7,203,50,46,17,89,70,63,89,89,59,19,,,,0.1,Sweetpotato,0.3, 60-90,0,60,0,25,0,0,0.5,0,,6,Soybean,0,0,0,40,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A05,,0,0,0,MIN,0.22,1.36,2.7,66,0.9,5.4,221,49,44,13,102,71,71,98,98,65,18,,,,0.1,"Vegetables, other",0.5, 80-100,0,110,0,25,0,0,0,0,,6,Soybean,0,0,0,40,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A06,,0,0,0,MIN,0.36,1.32,3.6,72,1,5.6,331,72,48,14,137,92,99,185,185,169,23,,,,0.1,"Vegetables, other",0.4, 80-100,0,70,0,25,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,10,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A07,,0,0,0,MIN,0.13,1.38,2.4,73,0.6,5.7,190,54,46,16,75,55,62,135,135,97,18,,,,0.1,"Vegetables, other",0, 80-100,0,100,0,25,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,40,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A08,,0,0,0,MIN,0.13,1.31,2.8,73,0.8,5.8,138,65,41,20,65,49,49,117,117,54,18,,,,0.1,"Vegetables, other",0, 80-100,0,80,0,25,0,0,0,0,,6,Soybean,0,0,0,20,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A9,,3,2018,0.4,MIN,0.18,1.32,2.9,71,0.8,5.7,137,69,40,18,68,51,51,73,73,59,19,,,,0.1,"Vegetables, other",0, 80-100,0,70,0,25,0,0,0,0,,6,Soybean,0,0,0,20,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
SL023894,Horticultural Crops Research Station / Clinton,2450 Faison Hwy,,Clinton,NC,28328,Resstation,,Sampson,A10,,3,2018,0.4,MIN,0.27,1.44,3,76,0.7,5.9,273,39,51,18,114,78,85,128,128,91,18,,,,0.1,"Vegetables, other",0, 80-100,0,140,0,25,0,0,0,0,,6,"Corn, grain",0,120 - 160,0,60,0,0,0,0,0,,3,,"Blueberry hardly ever needs lime; no lime should be applied unless advised by an experienced consultant. Soil pH in the 4.0 to 5.0 range is preferable. If you received a lime recommendation on the report, it is due to the second crop code selection. Our recommendation program provides a lime recommendation for the crop with the highest target pH. This lime recommendation when it exists will always appear next to the first crop. If there is confusion about this, please contact us. Also read Note 18 that can be accessed by a hyperlink found on the report.",,,,,2/13/2019
