REPORT#,GROWER,ADDRESS,ADDRESS 2,CITY,STATE,ZIP,FARM ,LAYERID,COUNTY,SAMPLE ID,LAST CROP,LIME MONTH,LIME YEAR,LIME IN TONNES,SOIL CLASS,HMA RESULT,VW RESULT,CATION EXCHANGE,BASE SAT.,AC,pH,P,K,Ca,Mg,Mn,Mn Avail Crop1,Mn Avail Crop2,Zn,Zn Avail,Cu,S,SS Result,NN Result,AM Result,Na,Crop 1,LIME CROP1,NIT CROP1,PHO CROP1,POT CROP1,Mg CROP1,S CROP1,Cu CROP1,Zn CROP1,B CROP1,Mn CROP1,Comment Crop1,Note CROP1,Crop 2,LIME CROP2,NIT CROP2,PHO CROP2,POT CROP2,Mg CROP2,Cu CROP2,Zn CROP2,B CROP2,Mn CROP2,Comment Crop2,Note CROP2,Rpt CoverType (Rpt Soil Notes),Narrative,Copy1,Copy2,Copy3,Copy4,Complete Date
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,CA,,0,0,0,MIN,0.66,1.22,5.1,76,1.2,5.7,87,89,48,20,160,106,,33,33,58,36,,,,0.1,"Tobacco, flue-cured",0.4, 50-80,0,30,0,0,0,0,0,0,,1,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,CB,,0,0,0,MIN,0.46,1.33,3.5,66,1.2,5.5,222,64,44,13,122,83,,43,43,40,35,,,,0.1,"Tobacco, flue-cured",0.5, 50-80,0,70,0,0,0,0,0,0,,1,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,CC,,0,0,0,MIN,1.43,1.15,7.2,73,2,5.6,325,116,49,16,132,89,,115,115,64,49,,,,0.1,"Tobacco, flue-cured",0.8, 50-80,0,10,0,0,0,0,0,0,,1,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,CD,,0,0,0,MIN,0.6,1.31,4.1,81,0.8,6,244,59,57,17,210,136,,89,89,56,33,,,,0.1,"Tobacco, flue-cured",0, 50-80,0,80,0,0,0,0,0,0,,1,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,CE,,0,0,0,MIN,0.27,1.17,7.7,77,1.8,5.1,75,74,48,24,180,118,,34,34,52,92,,,,0.1,"Tobacco, flue-cured",1.1, 50-80,0,50,0,0,0,0,0,0,,1,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,CF,,0,0,0,MIN,0.46,1.22,4.1,73,1.1,5.6,175,57,51,16,477,296,,129,129,63,38,,,,0.1,"Tobacco, flue-cured",0.4, 50-80,0,80,0,0,0,0,0,0,,1,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,DA,,0,0,0,MIN,0.22,1.31,3.3,83,0.6,6,156,54,57,18,201,130,,97,97,67,30,,,,0.1,"Tobacco, flue-cured",0, 50-80,0,90,0,0,0,0,0,0,,1,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,DB,,0,0,0,MIN,0.32,1.31,3.9,89,0.4,6.3,216,60,62,19,280,174,,106,106,48,30,,,,0.1,"Tobacco, flue-cured",0, 50-80,0,80,0,0,0,0,0,0,,1,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,DC,,0,0,0,MIN,0.41,1.29,4,79,0.8,5.9,229,77,53,17,179,117,,47,47,41,37,,,,0.1,"Tobacco, flue-cured",0, 50-80,0,50,0,0,0,0,0,0,,1,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,EA,,0,0,0,MIN,0.36,1.22,4.3,71,1.2,5.5,91,69,45,18,329,214,,135,135,68,44,,,,0.1,"Corn, grain",0.5,120 - 160,0,20,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,JA,,0,0,0,MIN,1.02,1.21,4.7,66,1.6,5.3,104,100,43,12,197,128,,97,97,57,50,,,,0.1,SG/Soybean (DC),0.9, 80-100,0,0,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,11/15/2018
SL011785,Cunningham Research Station,200 Cunningham Rd,,Kinston,NC,28501,NCSU Cunningham Research Stati,,Lenoir,JB,,0,0,0,MIN,1.43,1.17,5.6,67,1.8,5.5,230,88,46,13,144,96,,74,74,58,60,,,,0.1,SG/Soybean (DC),0.8, 80-100,0,0,0,0,0,0,0,0,,3,,0,,,,,,,,,,,,,,,,,11/15/2018
